x y
2013.084525431426 170.58064516129033
2013.160819709355 160.03571428571428
2013.2452883742053 147.38709677419354
2013.327032243415 140.23333333333332
2013.4115009082652 146.80645161290323
2013.493244777475 149.16
2013.5777134423251 160.5
2013.6621821071753 163.96774193548387
2013.743925976385 169.62962962962962
2013.8283946412353 177.3548387096774
2013.910138510445 183.0
2013.9946071752952 184.03225806451613
2014.084525431426 176.03571428571428
2014.160819709355 162.64285714285714
2014.2452883742053 151.32258064516128
2014.327032243415 139.55172413793105
2014.4033265213443 149.21428571428572
2014.493244777475 150.11764705882354
2014.5777134423251 157.16129032258064
2014.6621821071753 165.26666666666668
2014.743925976385 167.73333333333332
2014.8283946412353 177.93548387096774
2014.910138510445 184.79310344827587
2014.9946071752952 187.55172413793105
2015.084525431426 181.8709677419355
2015.160819709355 164.46428571428572
2015.2452883742053 147.70967741935485
2015.327032243415 139.23333333333332
2015.4115009082652 145.61290322580646
2015.493244777475 144.5
2015.5777134423251 149.3548387096774
2015.6621821071753 155.80645161290323
2015.743925976385 161.9
2015.8283946412353 177.38709677419354
2015.910138510445 183.53333333333333
2015.9946071752952 183.25806451612902
2016.084525431426 179.5483870967742
2016.1635445049956 169.3448275862069
2016.2452883742053 154.38709677419354
2016.327032243415 149.73333333333332
2016.4115009082652 154.3548387096774
2016.493244777475 164.55172413793105
2016.5777134423251 171.7741935483871
2016.6621821071753 176.29032258064515
2016.743925976385 188.6
2016.8283946412353 194.4516129032258
2016.910138510445 203.46666666666667
2016.9946071752952 202.96774193548387
2017.084525431426 195.90322580645162
2017.160819709355 177.76923076923077
2017.2452883742053 162.25806451612902
2017.327032243415 152.56666666666666
2017.4115009082652 154.8709677419355
2017.493244777475 156.86666666666667
2017.574988646685 160.26666666666668
2017.6621821071753 174.89285714285714
2017.743925976385 191.17857142857142
2017.8283946412353 199.32258064516128
2017.910138510445 207.27586206896552
2017.9946071752952 208.74193548387098
2018.084525431426 199.29032258064515
2018.160819709355 186.66666666666666
2018.2452883742053 169.93548387096774
2018.327032243415 164.53333333333333
2018.4115009082652 166.8709677419355
2018.493244777475 163.66666666666666
2018.5777134423251 162.2
2018.6621821071753 173.38709677419354
2018.743925976385 178.07407407407408
2018.8283946412353 198.04
2018.910138510445 206.89655172413794
2018.9946071752952 205.53333333333333
2019.084525431426 194.51612903225808
2019.160819709355 188.60714285714286
2019.2452883742053 166.7741935483871
2019.327032243415 158.6
2019.4115009082652 156.96774193548387
2019.493244777475 153.0
2019.5777134423251 156.51612903225808
2019.6621821071753 161.1290322580645
2019.743925976385 174.7
2019.8283946412353 189.48387096774192
2019.910138510445 196.7
2019.9946071752952 200.92592592592592
2020.084525431426 186.46666666666667
2020.1635445049956 177.6206896551724
2020.2452883742053 160.80645161290323
2020.327032243415 152.96666666666667
2020.4115009082652 155.03225806451613
2020.493244777475 162.41379310344828
2020.5777134423251 164.8709677419355
2020.6621821071753 173.41935483870967
2020.743925976385 185.1
2020.8283946412353 198.03333333333333
2020.910138510445 209.4
2020.9946071752952 204.29032258064515
2021.084525431426 200.61290322580646
2021.160819709355 183.21428571428572
2021.2452883742053 166.93333333333334
2021.327032243415 157.26666666666668
2021.4115009082652 149.4516129032258
2021.493244777475 156.58620689655172
2021.5777134423251 162.86666666666667
2021.6621821071753 168.16129032258064
2021.743925976385 177.36666666666667
2021.8283946412353 190.1290322580645
2021.910138510445 195.21428571428572
2021.9946071752952 200.59259259259258
2022.084525431426 184.92592592592592
2022.160819709355 182.5
2022.2452883742053 170.5483870967742
2022.327032243415 165.26923076923077
2022.4115009082652 164.94736842105263
2022.493244777475 167.3
2022.5777134423251 168.41379310344828
2022.6621821071753 176.13793103448276
2022.7412011807448 188.59259259259258
2022.8283946412353 201.66666666666666
2022.910138510445 207.76666666666668
2022.9946071752952 207.11111111111111
